index	name	color
1	Region1	#8fe399
2	Region2	#0053b8
3	Region3	#3c0099
4	Region4	#009999
5	Region5	#4e9dff
6	Region6	#ffff00
7	Region7	#ffe3c3
8	Region8	#b05828
9	Region9	#db133c
10	Region10	#ff9c00
