index	name	color
1	Region1	#2ea698
2	Region2	#549720
3	Region3	#336693
4	Region4	#0e187d
5	Region5	#a517a2
6	Region6	#af2b46
7	Region7	#e17db0
8	Region8	#eca108
9	Region9	#fbd975
10	Region10	#7775f5
