index	name	color
1	Network_1	#c339f9
2	Network_2	#ffff00
3	Network_3	#0b2fff
4	Network_4	#cc3d4d
5	Network_5	#29cca3
6	Network_6	#e59321
7	Network_7	#4581b3
8	Network_8	#00750d
9	Network_9	#771185
10	Network_10	#863149
